last contact date,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,target
2008-08-07,31,management,married,secondary,no,55,no,no,cellular,124,3,-1,0,,no
2009-08-20,44,management,married,tertiary,no,0,no,no,cellular,122,2,-1,0,,no
2010-05-14,42,blue-collar,married,secondary,no,3743,yes,no,,136,1,-1,0,,no
2009-01-28,27,technician,single,tertiary,no,28,no,no,cellular,174,1,-1,0,,no
2008-03-12,70,retired,married,,no,1236,no,no,cellular,58,4,-1,0,,no
2009-07-31,28,unemployed,married,secondary,no,-42,yes,yes,cellular,143,4,-1,0,,no
2010-05-12,49,blue-collar,married,secondary,no,5058,no,no,cellular,255,2,357,4,failure,no
2010-08-08,34,technician,single,secondary,no,19348,yes,no,cellular,316,2,-1,0,,no
2009-05-11,38,admin.,married,secondary,no,1,yes,no,cellular,63,7,-1,0,,no
2008-07-17,32,admin.,divorced,secondary,no,2017,no,yes,cellular,686,1,-1,0,,no
2008-05-19,44,management,divorced,tertiary,no,409,yes,no,,333,1,-1,0,,no
2010-06-20,42,technician,married,tertiary,no,-215,no,no,,1573,5,-1,0,,yes
2010-04-17,32,blue-collar,single,secondary,no,782,yes,no,cellular,517,1,-1,0,,no
2010-05-20,33,services,single,secondary,no,0,yes,no,,134,3,-1,0,,no
2010-05-23,30,blue-collar,married,secondary,no,253,yes,no,,160,2,-1,0,,no
2010-06-16,38,blue-collar,married,primary,no,298,no,no,,147,1,-1,0,,no
2010-04-20,41,blue-collar,married,primary,no,241,yes,no,cellular,170,1,150,1,failure,no
2010-07-31,45,self-employed,married,secondary,no,830,no,no,cellular,468,2,-1,0,,no
2008-11-13,18,student,single,primary,no,608,no,no,cellular,210,1,93,1,success,yes
2009-07-07,57,technician,married,tertiary,no,-40,no,yes,cellular,88,1,-1,0,,no
2010-05-28,45,blue-collar,married,,no,-320,yes,no,,204,3,-1,0,,no
2008-07-28,29,management,single,tertiary,no,2063,no,no,cellular,44,3,-1,0,,no
2010-08-20,43,management,married,tertiary,no,2,no,yes,cellular,472,2,-1,0,,no
2010-07-31,46,admin.,married,secondary,no,526,no,yes,cellular,251,3,-1,0,,no
2010-07-10,54,admin.,married,tertiary,no,59,yes,no,cellular,268,1,-1,0,,no
2008-07-14,45,blue-collar,single,secondary,no,91,no,yes,cellular,55,2,-1,0,,no
2010-05-09,37,admin.,single,secondary,no,1113,yes,no,,237,1,-1,0,,no
2010-06-02,35,management,married,tertiary,no,5367,no,no,cellular,80,1,92,1,failure,no
2009-07-13,36,services,married,,no,618,no,no,cellular,360,1,335,2,success,yes
2010-02-11,57,retired,married,primary,no,9367,no,no,cellular,981,1,90,6,success,yes
2009-07-11,51,management,divorced,tertiary,no,1988,yes,no,cellular,67,1,-1,0,,no
2008-04-13,23,student,single,secondary,no,107,no,no,cellular,256,5,181,2,success,yes
2010-06-19,49,blue-collar,married,primary,no,98,no,yes,,534,1,-1,0,,no
2009-11-20,57,self-employed,married,tertiary,no,3012,no,no,telephone,98,4,-1,0,,no
2010-02-17,74,retired,married,secondary,no,1714,no,no,telephone,127,1,-1,0,,yes
2010-05-12,35,blue-collar,married,secondary,no,325,no,no,,592,2,-1,0,,no
2008-05-28,34,technician,married,secondary,no,1246,no,no,,88,3,-1,0,,no
2009-05-12,40,admin.,married,,no,9110,yes,no,cellular,234,6,174,3,failure,no
2010-10-30,89,student,married,secondary,no,78106,no,no,telephone,1000,20,870,213,success,yes
2008-05-26,29,blue-collar,married,secondary,no,484,yes,no,,629,2,-1,0,,no
2008-01-30,91,student,single,tertiary,no,39869,no,no,telephone,4379,49,353,34,other,yes
2008-06-05,36,services,married,primary,no,92,yes,no,cellular,244,7,-1,0,,yes
2008-05-25,30,admin.,married,tertiary,no,501,yes,yes,cellular,92,1,-1,0,,no
2008-02-10,43,management,married,tertiary,no,40,no,no,cellular,147,1,-1,0,,yes
2009-04-20,61,management,married,tertiary,no,267,no,no,cellular,190,1,-1,0,,yes
2010-05-05,45,management,married,tertiary,no,0,yes,no,cellular,469,2,342,1,failure,no
2010-12-29,87,student,married,secondary,no,60600,no,no,cellular,748,49,428,108,failure,no
2009-09-15,47,technician,divorced,secondary,no,1013,no,no,cellular,170,1,92,3,failure,yes
2010-07-09,39,blue-collar,married,primary,no,1742,no,no,,130,6,-1,0,,no
2008-11-21,48,blue-collar,single,secondary,no,-552,no,yes,cellular,150,2,-1,0,,no
2010-05-15,46,management,married,tertiary,no,1217,yes,no,,236,1,-1,0,,no
2008-11-16,24,blue-collar,married,secondary,no,272,no,no,cellular,105,2,94,2,success,yes
2009-05-08,45,services,married,secondary,no,1381,yes,no,,269,1,-1,0,,no
2009-07-31,28,blue-collar,married,secondary,no,144,yes,yes,cellular,7,22,-1,0,,no
2009-05-08,36,entrepreneur,single,secondary,no,157,yes,no,,41,1,-1,0,,no
2008-10-04,35,entrepreneur,single,secondary,no,91228,no,no,cellular,4181,56,708,11,success,no
2008-05-27,43,admin.,married,secondary,no,132,no,no,cellular,187,2,71,1,success,yes
2009-02-22,53,management,married,tertiary,no,597,no,no,,392,1,-1,0,,yes
2010-05-27,30,management,single,tertiary,no,3773,yes,no,,99,1,-1,0,,no
2010-05-23,31,technician,married,secondary,no,4941,yes,no,,504,1,-1,0,,no
2010-09-28,60,unemployed,single,secondary,yes,58363,no,no,telephone,1495,16,236,191,success,no
2010-05-13,42,blue-collar,divorced,primary,no,299,yes,no,,253,2,-1,0,,no
2010-07-11,32,services,married,,no,23,no,no,cellular,425,2,-1,0,,no
2009-04-20,32,entrepreneur,married,tertiary,no,281,yes,no,telephone,18,5,349,2,failure,no
2008-07-17,41,management,single,tertiary,no,0,yes,no,cellular,509,7,-1,0,,no
2008-06-20,45,admin.,married,,no,1783,no,no,,11,11,-1,0,,no
2009-09-28,71,entrepreneur,married,primary,yes,46029,yes,no,cellular,861,23,522,168,success,yes
2008-05-08,34,blue-collar,single,secondary,no,177,yes,no,,500,1,-1,0,,no
2009-06-06,31,management,single,tertiary,no,2296,yes,no,,49,8,-1,0,,no
2009-05-08,38,blue-collar,married,secondary,no,4586,yes,no,,784,1,-1,0,,no
2009-02-03,31,admin.,single,secondary,no,757,no,no,cellular,343,2,-1,0,,no
2008-08-19,45,self-employed,married,secondary,no,571,yes,no,cellular,361,5,-1,0,,no
2010-04-20,45,services,married,primary,no,-79,yes,no,cellular,59,4,348,2,failure,no
2010-05-14,29,blue-collar,married,secondary,no,424,yes,yes,,241,2,-1,0,,no
2010-06-17,49,services,married,secondary,no,494,no,no,,196,4,-1,0,,no
2009-05-19,42,management,married,tertiary,no,365,yes,no,,49,2,-1,0,,no
2008-05-18,21,student,single,tertiary,no,2764,yes,no,cellular,78,2,354,2,failure,no
2009-07-15,35,entrepreneur,married,secondary,no,313,yes,no,cellular,479,1,-1,0,,no
2010-01-05,48,entrepreneur,divorced,primary,yes,669,yes,yes,cellular,4546,53,100,265,failure,no
2009-08-14,54,technician,married,secondary,no,0,no,no,telephone,159,2,106,6,success,no
2010-07-17,42,technician,single,secondary,no,1977,no,no,cellular,72,6,-1,0,,no
2010-03-14,25,self-employed,single,primary,yes,97917,no,no,telephone,3109,3,503,189,success,no
2008-11-17,50,technician,married,secondary,no,0,yes,no,cellular,114,4,168,2,failure,no
2009-07-18,33,services,married,tertiary,no,1275,yes,no,cellular,191,1,-1,0,,no
2008-06-11,39,blue-collar,single,secondary,no,16917,no,no,,129,6,-1,0,,no
2010-08-11,32,technician,single,tertiary,no,300,no,no,cellular,163,2,-1,0,,no
2010-05-14,35,blue-collar,married,secondary,no,2432,yes,no,cellular,196,2,-1,0,,no
2008-05-05,31,management,married,tertiary,no,451,yes,no,cellular,67,1,-1,0,,no
2010-11-19,35,unemployed,single,secondary,yes,-126,no,no,cellular,168,1,-1,0,,no
2010-07-28,59,self-employed,married,primary,no,0,yes,no,telephone,97,2,-1,0,,no
2008-05-14,47,blue-collar,married,primary,no,881,yes,no,cellular,143,1,370,2,failure,no
2008-07-08,36,admin.,married,secondary,no,68,no,yes,cellular,85,4,-1,0,,no
2009-05-28,39,services,single,secondary,no,300,yes,yes,,180,2,-1,0,,no
2010-08-12,49,blue-collar,married,primary,no,128,no,no,cellular,696,2,-1,0,,yes
2010-06-03,38,technician,married,secondary,no,1442,yes,no,cellular,113,1,119,1,failure,no
2009-11-19,39,blue-collar,married,primary,no,800,yes,no,cellular,76,6,-1,0,,no
2010-02-02,26,student,single,secondary,no,2469,no,no,cellular,406,1,-1,0,,no
2008-02-03,29,student,single,tertiary,no,559,no,no,cellular,143,2,-1,0,,no
2009-11-20,52,entrepreneur,single,tertiary,no,3469,yes,no,cellular,653,1,-1,0,,yes
2009-05-21,27,blue-collar,single,secondary,no,-208,yes,no,,127,2,-1,0,,no
2010-03-26,38,admin.,married,secondary,no,6706,no,no,cellular,143,2,-1,0,,no
2008-08-26,54,blue-collar,married,primary,no,7073,no,no,cellular,479,6,-1,0,,no
2008-09-02,89,self-employed,single,tertiary,no,36902,no,yes,cellular,4384,25,657,37,failure,no
2009-06-18,44,management,married,tertiary,no,2283,yes,yes,,81,2,-1,0,,no
2009-07-07,33,blue-collar,single,primary,yes,-15,no,yes,cellular,326,2,-1,0,,no
2008-05-16,43,technician,married,secondary,no,17,yes,no,,353,4,-1,0,,no
2009-03-28,20,unemployed,divorced,primary,no,81235,no,no,cellular,3877,18,554,155,success,yes
2009-07-23,47,management,married,tertiary,no,4386,yes,no,telephone,43,1,-1,0,,no
2008-07-30,45,technician,married,secondary,no,1841,yes,no,cellular,154,2,-1,0,,no
2009-05-08,30,blue-collar,married,secondary,no,194,yes,no,cellular,475,3,-1,0,,no
2010-03-23,61,unemployed,married,secondary,yes,28849,yes,yes,telephone,2301,21,11,12,other,no
2008-08-14,57,technician,married,secondary,no,2625,no,no,cellular,465,2,-1,0,,no
2010-07-30,43,blue-collar,married,secondary,no,511,yes,no,cellular,67,7,-1,0,,no
2010-07-09,49,housemaid,married,primary,no,0,no,no,telephone,106,1,-1,0,,no
2009-05-20,32,blue-collar,married,secondary,no,2366,yes,no,,127,2,-1,0,,no
2008-11-21,44,entrepreneur,married,tertiary,no,-1,no,yes,cellular,63,2,-1,0,,no
2008-11-20,54,blue-collar,married,primary,no,4608,no,no,telephone,352,3,-1,0,,no
2009-06-16,52,unemployed,married,secondary,no,0,no,no,,18,7,-1,0,,no
2008-05-13,40,blue-collar,married,primary,no,-166,yes,no,,136,1,-1,0,,no
2010-07-10,39,blue-collar,married,secondary,no,1309,no,yes,telephone,37,1,-1,0,,no
2010-04-20,44,management,single,secondary,no,109,yes,no,cellular,101,4,328,3,failure,no
2009-09-01,68,student,married,tertiary,no,28512,no,no,cellular,2076,43,102,48,success,no
2008-04-17,29,services,married,secondary,no,191,yes,no,cellular,87,1,-1,0,,no
2008-06-03,37,blue-collar,married,secondary,yes,-399,yes,yes,,21,3,-1,0,,no
2008-11-21,32,services,single,secondary,no,875,yes,no,cellular,1015,2,-1,0,,no
2009-06-06,48,unemployed,married,primary,no,5462,no,no,,29,4,-1,0,,no
2008-03-17,29,admin.,single,tertiary,no,261,no,no,cellular,136,19,-1,0,,no
2010-11-21,32,self-employed,married,tertiary,no,14522,no,no,cellular,221,7,-1,0,,no
2008-05-14,35,management,single,tertiary,no,592,no,yes,,192,1,-1,0,,no
2010-11-21,43,,single,tertiary,no,2731,no,no,cellular,11,7,-1,0,,no
2009-11-09,35,services,married,tertiary,no,4655,no,no,cellular,111,2,-1,0,,no
2009-03-18,44,entrepreneur,single,secondary,no,88926,yes,no,cellular,810,16,574,204,failure,yes
2008-07-08,26,admin.,single,secondary,no,-35,no,yes,cellular,304,1,-1,0,,no
2008-11-20,33,admin.,single,secondary,no,2548,yes,no,cellular,179,2,-1,0,,no
2008-09-15,31,student,single,tertiary,no,64,no,no,cellular,208,1,105,2,success,no
2009-04-26,41,admin.,divorced,secondary,no,3823,no,no,cellular,234,10,-1,0,,no
2010-10-20,64,retired,divorced,secondary,no,4833,no,no,cellular,621,1,181,3,failure,yes
2008-05-27,37,blue-collar,married,secondary,no,132,no,no,,336,2,-1,0,,no
2010-06-03,38,blue-collar,married,secondary,no,769,yes,no,,235,1,-1,0,,no
2008-04-30,47,technician,married,tertiary,no,2408,no,no,cellular,376,1,-1,0,,yes
2008-07-22,34,blue-collar,married,primary,no,0,yes,no,cellular,149,2,-1,0,,no
2009-07-18,32,admin.,married,secondary,no,205,no,no,cellular,197,3,-1,0,,no
2008-07-17,28,management,married,tertiary,no,3516,no,no,cellular,232,1,-1,0,,no
2009-07-08,55,services,married,secondary,no,0,no,no,cellular,106,1,-1,0,,no
2008-06-17,46,,single,secondary,no,0,no,no,,156,4,-1,0,,no
2008-11-18,33,blue-collar,married,secondary,no,328,yes,no,cellular,160,2,182,1,failure,no
2008-08-18,31,technician,single,secondary,no,0,no,no,cellular,93,2,-1,0,,no
2008-08-22,30,management,married,secondary,no,0,no,no,cellular,78,2,-1,0,,no
2010-05-19,47,blue-collar,single,secondary,no,15,yes,no,,62,2,-1,0,,no
2008-06-03,58,retired,married,secondary,no,3909,yes,no,,80,1,-1,0,,no
2009-01-08,32,unemployed,divorced,secondary,yes,27256,yes,yes,telephone,4397,10,758,218,other,no
2010-05-28,32,services,single,tertiary,no,-233,yes,no,,140,2,-1,0,,no
2009-05-07,50,blue-collar,divorced,primary,no,149,yes,no,,74,1,-1,0,,no
2009-06-01,28,services,single,secondary,no,168,no,no,cellular,347,3,140,2,success,yes
2008-03-31,33,services,married,secondary,no,260,yes,no,cellular,248,1,-1,0,,no
2010-06-09,37,self-employed,divorced,secondary,no,3467,no,no,,185,2,-1,0,,no
2008-05-30,51,entrepreneur,married,secondary,no,0,no,no,,510,3,-1,0,,no
2010-11-17,71,retired,divorced,primary,no,1729,no,no,cellular,456,2,-1,0,,yes
2009-08-27,28,admin.,single,secondary,no,27,no,no,cellular,294,1,-1,0,,no
2008-08-07,32,technician,married,secondary,no,150,no,yes,cellular,231,2,-1,0,,no
2009-05-15,54,admin.,married,,no,907,yes,no,,71,1,-1,0,,no
2010-01-30,33,technician,married,tertiary,no,525,yes,yes,cellular,499,1,247,1,failure,no
2008-03-09,73,retired,married,primary,no,508,no,no,cellular,176,1,-1,0,,yes
2008-07-30,50,admin.,married,secondary,no,2678,no,no,telephone,1011,6,-1,0,,yes
2010-01-28,32,services,single,secondary,no,951,no,no,cellular,77,1,-1,0,,no
2008-08-06,32,management,married,tertiary,no,71,no,no,cellular,80,3,-1,0,,no
2010-04-16,35,management,married,secondary,no,2415,yes,yes,cellular,348,3,-1,0,,no
2010-01-29,54,admin.,married,secondary,no,263,no,yes,telephone,283,4,195,7,failure,no
2008-05-29,54,admin.,married,tertiary,no,-690,yes,yes,,230,4,-1,0,,no
2009-06-20,57,technician,married,tertiary,no,27069,no,yes,,174,3,-1,0,,no
2009-03-02,33,admin.,married,tertiary,no,21,no,yes,cellular,202,2,-1,0,,no
2010-05-12,26,student,single,tertiary,no,2182,yes,no,cellular,42,1,292,1,other,no
2009-04-08,42,blue-collar,married,secondary,no,3168,yes,no,cellular,764,2,-1,0,,no
2008-01-24,53,unemployed,married,tertiary,no,23428,yes,no,cellular,735,34,750,180,other,no
2010-05-26,32,blue-collar,married,primary,no,-376,yes,no,,188,1,-1,0,,no
2009-05-07,28,self-employed,single,tertiary,no,270,yes,no,cellular,49,2,345,2,failure,no
2008-06-18,43,management,married,tertiary,no,657,no,no,,367,1,-1,0,,no
2008-07-24,32,technician,married,tertiary,no,401,yes,no,cellular,200,1,-1,0,,no
2009-05-25,31,technician,single,secondary,no,863,yes,no,cellular,166,3,111,6,failure,no
2010-07-21,36,management,married,secondary,no,-267,no,no,cellular,368,2,-1,0,,no
2008-08-06,46,blue-collar,married,primary,yes,575,no,no,cellular,127,3,-1,0,,no
2010-06-06,37,self-employed,married,secondary,no,215,yes,no,,61,1,-1,0,,no
2009-02-04,38,technician,single,secondary,no,571,no,no,cellular,275,3,-1,0,,no
2010-07-28,40,services,divorced,secondary,no,9,no,no,cellular,154,2,-1,0,,no
2008-06-19,39,services,single,tertiary,no,410,no,no,,266,4,-1,0,,no
2008-05-08,32,blue-collar,married,secondary,no,491,yes,no,,223,2,-1,0,,no
2008-06-18,49,management,married,primary,no,1330,no,yes,,37,1,-1,0,,no
2008-11-21,30,admin.,married,secondary,no,35,yes,yes,cellular,91,2,-1,0,,no
2010-05-13,37,technician,divorced,secondary,no,2610,yes,no,cellular,53,1,-1,0,,no
2009-08-05,50,management,single,tertiary,no,1098,yes,yes,cellular,286,1,-1,0,,no
2008-11-21,42,admin.,divorced,secondary,no,-67,no,no,cellular,137,2,-1,0,,no
2008-04-17,35,technician,divorced,secondary,no,48,yes,no,cellular,73,1,-1,0,,no
2010-07-14,36,blue-collar,married,primary,no,1580,yes,no,cellular,615,3,-1,0,,no
2008-06-04,59,blue-collar,married,secondary,no,87,no,no,,65,10,-1,0,,no
2009-06-06,48,blue-collar,married,primary,no,72,yes,no,,114,5,-1,0,,no
2009-06-11,37,management,single,secondary,no,235,no,no,,27,2,-1,0,,no
2008-08-18,36,management,single,tertiary,no,2944,no,no,cellular,882,8,-1,0,,yes
2009-12-18,45,housemaid,divorced,primary,no,532,yes,no,cellular,3493,39,392,59,success,no
2009-05-18,25,blue-collar,single,secondary,no,320,yes,no,cellular,549,3,-1,0,,no
2010-07-07,34,technician,single,secondary,no,232,no,no,cellular,130,1,-1,0,,no
2008-06-05,29,technician,single,secondary,no,3313,yes,no,,18,3,-1,0,,no
2010-05-28,57,services,divorced,secondary,no,-752,yes,no,,102,1,-1,0,,no
2010-05-15,42,blue-collar,married,secondary,no,680,yes,no,cellular,306,4,365,2,failure,no
2010-06-05,40,self-employed,married,tertiary,no,1750,no,no,,197,1,-1,0,,no
2010-07-24,31,services,single,secondary,no,0,yes,no,cellular,362,1,-1,0,,no
2010-05-28,53,services,married,primary,no,49,no,no,,152,1,-1,0,,no
2010-08-14,32,management,married,tertiary,no,2349,no,no,cellular,134,5,-1,0,,no
2010-01-30,39,housemaid,married,secondary,no,953,no,no,cellular,23,6,232,3,other,no
2009-04-20,35,blue-collar,married,secondary,no,243,yes,no,cellular,41,3,-1,0,,no
2009-07-25,28,services,married,secondary,no,7,no,no,cellular,50,3,-1,0,,no
2010-05-19,50,technician,married,,no,413,yes,no,,243,2,-1,0,,no
2008-03-02,80,housemaid,married,primary,yes,53038,yes,yes,cellular,2713,44,677,112,failure,yes
2008-05-16,32,entrepreneur,single,tertiary,no,1,yes,yes,,411,2,-1,0,,no
2008-05-28,31,admin.,divorced,secondary,no,82,no,no,,254,1,-1,0,,no
2008-04-20,34,services,married,secondary,no,409,yes,no,cellular,104,4,-1,0,,no
2009-08-04,48,admin.,married,secondary,no,2262,no,no,cellular,70,1,-1,0,,no
2009-12-04,86,housemaid,single,tertiary,yes,84461,yes,no,cellular,767,58,394,215,success,no
2008-06-01,58,unemployed,single,tertiary,no,2094,no,no,cellular,161,2,-1,0,,no
2009-08-11,34,blue-collar,single,secondary,no,1923,no,no,cellular,159,1,-1,0,,no
2008-06-16,55,blue-collar,married,secondary,no,0,no,no,,73,3,-1,0,,no
2009-06-18,50,services,married,secondary,no,753,no,no,,59,2,-1,0,,no
2009-07-02,35,retired,single,secondary,no,527,no,yes,,348,3,-1,0,,no
2010-08-13,57,blue-collar,married,primary,no,696,yes,no,cellular,89,6,-1,0,,no
2010-05-12,55,blue-collar,married,primary,no,1649,yes,no,cellular,52,3,-1,0,,no
2008-05-11,43,services,married,secondary,no,-416,yes,yes,cellular,114,1,301,3,failure,no
2009-10-11,27,student,single,tertiary,no,838,no,no,cellular,162,1,-1,0,,no
2008-10-01,28,management,single,tertiary,no,6784,no,no,cellular,502,1,115,3,other,yes
2008-07-09,33,management,married,,no,117,no,yes,cellular,133,2,-1,0,,no
2009-09-14,24,student,single,,no,358,no,no,cellular,407,2,92,2,success,no
2008-07-07,40,management,divorced,secondary,no,-626,yes,no,cellular,140,4,-1,0,,no
2008-05-12,39,technician,married,,no,0,yes,no,cellular,106,3,-1,0,,no
2008-07-24,41,entrepreneur,married,tertiary,no,0,yes,no,telephone,552,16,-1,0,,no
2008-05-12,46,services,married,secondary,no,2381,yes,no,telephone,220,3,363,1,other,no
2009-07-30,59,retired,single,secondary,no,2303,no,yes,telephone,128,2,-1,0,,no
2009-04-17,33,blue-collar,single,secondary,no,3975,yes,yes,cellular,515,1,150,1,other,no
2010-05-29,43,technician,married,secondary,no,310,yes,no,,291,1,-1,0,,no
2010-08-11,35,technician,single,tertiary,no,0,no,no,cellular,176,3,-1,0,,no
2008-05-15,35,services,married,secondary,no,2791,yes,no,cellular,45,1,-1,0,,no
2010-05-09,32,entrepreneur,single,tertiary,no,6259,yes,no,,230,2,-1,0,,no
2009-01-13,28,self-employed,single,tertiary,no,1579,no,no,cellular,163,1,91,3,failure,yes
2010-05-08,46,blue-collar,married,primary,no,587,yes,no,,173,2,-1,0,,no
2008-01-29,33,blue-collar,married,secondary,no,854,yes,yes,cellular,93,1,-1,0,,no
2008-06-09,40,blue-collar,married,secondary,no,2932,yes,no,,22,17,-1,0,,no
2008-05-20,32,blue-collar,married,primary,no,7406,yes,no,,418,2,-1,0,,no
2008-08-25,39,management,divorced,tertiary,no,355,yes,no,cellular,313,5,-1,0,,no
2008-10-15,74,unemployed,divorced,tertiary,no,41021,no,yes,telephone,924,37,221,164,failure,no
2010-05-29,31,student,single,tertiary,no,479,yes,no,,72,12,-1,0,,no
2010-08-12,31,management,married,tertiary,no,596,no,no,cellular,192,4,-1,0,,no
2009-11-19,56,self-employed,married,tertiary,yes,0,no,no,cellular,122,1,-1,0,,no
2009-08-21,32,housemaid,single,tertiary,no,4,yes,no,cellular,776,2,-1,0,,no
2010-05-15,41,services,married,secondary,no,2399,yes,no,cellular,303,2,351,2,failure,no
2009-05-13,44,entrepreneur,married,tertiary,no,1,yes,no,cellular,123,2,-1,0,,no
2009-08-11,52,,married,primary,no,5521,no,no,cellular,126,4,-1,0,,no
2009-11-21,52,management,married,tertiary,no,2428,yes,no,cellular,294,1,116,3,failure,no
2009-05-05,50,technician,married,primary,no,139,no,no,,114,2,-1,0,,no
2008-05-30,45,blue-collar,married,primary,no,676,yes,no,,156,4,-1,0,,no
2009-05-08,36,blue-collar,married,secondary,no,153,yes,no,cellular,263,1,171,2,failure,no
2009-07-21,53,technician,married,primary,no,0,no,no,cellular,96,1,-1,0,,no
2008-02-06,60,admin.,divorced,secondary,no,-41,yes,yes,cellular,1658,1,262,1,failure,yes
2010-02-02,57,admin.,married,secondary,no,11,no,no,cellular,261,1,265,3,failure,no
2010-08-11,30,management,single,tertiary,no,2123,no,no,cellular,217,2,-1,0,,no
2008-08-05,55,services,married,secondary,no,76,no,no,cellular,356,1,-1,0,,no
2010-06-20,44,student,single,,no,5078,no,no,,17,5,-1,0,,no
2009-05-06,34,management,divorced,tertiary,no,-401,yes,no,cellular,378,1,-1,0,,no
2009-10-12,83,retired,married,,no,4216,no,no,cellular,92,1,-1,0,,no
2008-05-06,34,blue-collar,married,secondary,no,649,yes,no,cellular,224,1,363,1,other,no
2009-05-07,37,management,divorced,tertiary,no,641,yes,no,cellular,334,1,-1,0,,no
2010-05-14,32,blue-collar,single,primary,no,398,yes,no,cellular,209,2,-1,0,,no
2008-05-27,45,blue-collar,married,secondary,no,-302,yes,no,,78,1,-1,0,,no
2010-07-14,25,services,single,secondary,no,-41,no,yes,cellular,114,2,-1,0,,no
2009-02-17,26,student,single,secondary,no,620,no,no,cellular,104,1,-1,0,,yes
2009-08-08,33,management,married,tertiary,no,2604,no,no,cellular,167,2,-1,0,,no
2009-07-15,39,management,married,tertiary,no,285,yes,no,cellular,838,3,-1,0,,yes
2008-05-04,37,management,single,tertiary,no,3141,no,no,cellular,384,2,-1,0,,yes
2009-05-06,40,technician,married,secondary,no,109,yes,no,,147,2,-1,0,,no
2009-08-12,58,technician,married,secondary,no,175,no,no,cellular,92,4,-1,0,,no
2008-05-06,40,blue-collar,married,secondary,no,217,yes,no,,195,1,-1,0,,no
2008-07-22,31,management,married,tertiary,no,216,no,no,cellular,47,1,-1,0,,no
2008-03-04,73,retired,single,secondary,no,1050,no,no,cellular,562,3,181,2,failure,yes
2010-05-21,28,services,single,secondary,no,115,yes,no,,66,13,-1,0,,no
2008-07-23,33,blue-collar,single,tertiary,no,457,yes,no,cellular,107,4,-1,0,,no
2010-05-19,38,entrepreneur,married,secondary,no,830,yes,no,,68,2,-1,0,,no
2010-04-19,34,technician,single,secondary,no,1313,no,no,cellular,237,4,-1,0,,no
2009-05-20,46,management,single,secondary,no,5993,no,no,cellular,165,1,56,3,failure,no
2009-05-26,37,blue-collar,single,secondary,no,3344,yes,no,,85,5,-1,0,,no
2008-11-18,42,blue-collar,married,primary,no,2273,yes,no,cellular,253,1,112,2,failure,no
2009-05-04,50,management,divorced,tertiary,no,1270,yes,no,cellular,24,3,-1,0,,no
2009-09-14,56,student,married,secondary,no,30413,yes,no,telephone,1624,46,569,180,other,no
2009-02-05,40,admin.,married,secondary,no,367,yes,no,telephone,89,1,274,1,failure,no
2009-11-21,31,blue-collar,single,secondary,no,-159,no,yes,telephone,49,1,-1,0,,no
2009-03-26,39,management,married,secondary,no,2981,no,no,cellular,200,1,-1,0,,yes
2009-03-11,57,management,married,tertiary,no,2681,no,no,cellular,266,2,-1,0,,yes
2008-02-09,27,management,single,tertiary,no,10,no,no,cellular,17,3,-1,0,,no
2009-07-21,44,management,divorced,tertiary,no,-90,yes,no,cellular,472,1,-1,0,,no
2008-01-30,26,services,single,secondary,no,49,no,no,cellular,397,1,-1,0,,no
2009-08-05,58,retired,married,secondary,no,4725,no,no,cellular,241,1,-1,0,,no
2010-05-15,48,services,divorced,secondary,no,0,yes,yes,,263,1,-1,0,,no
2008-05-09,34,management,single,tertiary,no,318,yes,no,,133,2,-1,0,,no
2008-07-28,30,management,single,tertiary,no,2,yes,no,cellular,377,4,-1,0,,no
2010-08-11,32,management,married,tertiary,no,713,yes,no,cellular,76,7,-1,0,,no
2008-05-07,32,blue-collar,married,secondary,no,2263,no,no,cellular,113,2,-1,0,,no
2008-05-05,49,management,married,tertiary,no,378,yes,no,,230,1,-1,0,,no
2010-08-05,42,technician,divorced,secondary,no,1533,no,yes,cellular,86,1,-1,0,,no
2009-03-09,75,housemaid,single,primary,yes,10436,no,yes,cellular,4061,16,77,233,other,no
2010-05-08,38,management,married,secondary,no,65,yes,no,,56,1,-1,0,,no
2009-10-09,28,student,single,primary,no,58105,yes,no,cellular,3720,14,295,164,other,yes
2010-05-06,33,blue-collar,married,primary,yes,-542,yes,no,cellular,116,2,-1,0,,no
2010-05-06,32,admin.,single,tertiary,no,395,yes,no,,241,3,-1,0,,no
2010-07-24,51,management,single,tertiary,no,1565,yes,no,cellular,870,3,-1,0,,no
2008-08-29,37,housemaid,married,primary,no,0,no,no,cellular,17,12,-1,0,,no
2009-06-02,42,management,married,,no,342,yes,no,,156,5,-1,0,,no
2008-07-28,50,blue-collar,married,secondary,no,724,no,no,cellular,139,2,-1,0,,no
2009-07-07,60,entrepreneur,divorced,primary,no,2648,no,no,cellular,148,2,-1,0,,no
2010-01-28,55,blue-collar,married,secondary,no,93,no,yes,cellular,111,1,-1,0,,no
2009-12-04,28,student,single,,no,78,no,no,cellular,232,3,310,2,failure,yes
2009-10-30,35,blue-collar,single,secondary,no,3623,no,no,telephone,160,1,-1,0,,yes
2010-05-16,51,management,married,tertiary,no,0,yes,no,,59,5,-1,0,,no
2010-09-21,68,student,married,secondary,no,55910,yes,yes,telephone,2075,38,343,59,success,no
2010-01-29,50,blue-collar,married,primary,no,2142,yes,no,cellular,309,2,224,1,other,no
